ID,Municipios_ID,Mes,Promedio_Radiacion
990,27025,January,3.78
991,27050,January,3.78
992,27073,January,3.78
993,27075,January,4.22
994,27077,January,3.88
995,27099,January,3.97
996,27135,January,3.78
997,27150,January,4.38
998,27160,January,3.78
999,27205,January,3.78
1000,27245,January,3.78
1001,27250,January,3.88
1002,27361,January,3.78
1003,27372,January,4.473333333
1004,27413,January,3.78
1005,27425,January,3.78
1006,27430,January,3.78
1007,27450,January,3.78
1008,27491,January,3.92
1009,27493,January,4.38
1010,27495,January,3.976666666
1011,27580,January,3.78
1012,27600,January,3.78
1013,27615,January,4.473333333
1014,27660,January,3.92
1015,27745,January,3.92
1016,27787,January,3.78
1017,27800,January,4.55
1018,27810,January,3.78
1019,41001,January,4.516666666
1020,41006,January,4.76
1021,41013,January,4.516666666
1022,41016,January,4.64
1023,41020,January,4.516666666
1024,41026,January,4.516666666
1025,41078,January,4.64
1026,41132,January,4.516666666
1027,41206,January,4.51
1028,41244,January,4.516666666
1029,41298,January,4.516666666
1030,41306,January,4.516666666
1031,41319,January,4.516666666
1032,41349,January,4.516666666
1033,41357,January,4.516666666
1034,41359,January,4.006666666
1035,41378,January,4.516666666
1036,41396,January,4.516666666
1037,41483,January,4.516666666
1038,41503,January,4.516666666
1039,41518,January,4.516666666
1040,41524,January,4.516666666
1041,41530,January,4.006666666
1042,41548,January,4.516666666
1043,41551,January,4.006666666
1044,41615,January,4.516666666
1045,41660,January,4.006666666
1046,41668,January,4.006666666
1047,41676,January,4.516666666
1048,41770,January,4.76
1049,41791,January,4.516666666
1050,41797,January,4.516666666
1051,41799,January,4.64
1052,41801,January,4.516666666
1053,41807,January,4.76
1054,41872,January,4.64
1055,41885,January,4.516666666
1056,44001,January,5.553333333
1057,44035,January,5.553333333
1058,44078,January,5.196666666
1059,44090,January,5.49
1060,44098,January,5.196666666
1061,44110,January,5.196666666
1062,44279,January,5.196666666
1063,44378,January,5.553333333
1064,44420,January,5.583333333
1065,44430,January,5.553333333
1066,44560,January,5.553333333
